,DOT_ID_Reporting_Airline,Flight_Number_Reporting_Airline,rescheduled_departure_ga,Delay_Reductions,NewArrival,NewDeparture
18346,19790,1010,844.4615508827978,6.538449117202123,1722,1411
18347,19977,489,1540.9408070190636,2.059192980936335,3147,2543
18348,20304,5399,1746.0879260763925,-1.087926076392374,3401,2905
18349,20363,5403,1235.220773954117,90.77922604588301,2451,2206
18350,19805,1568,1305.6374443170391,55.36255568296078,2450,2241
18351,20304,3193,2118.781433149965,112.21856685003492,3912,3711
18352,19977,2417,1827.5732532974787,14.426746702521282,3552,3042
18353,19393,5026,2100.9928279865358,-0.992827986535838,3730,3500
18354,20409,896,1205.8916886496509,44.108311350349034,2444,2050
18355,19393,5603,836.286199393035,8.71380060696507,1555,1405
18356,19805,2635,1451.268538471842,31.73146152815787,3303,2443
18357,19930,133,1400.323476755585,25.676523244414987,2739,2346
18358,19977,1389,1534.766586556807,34.23341344319297,2755,2609
18359,19977,464,1526.4544556959631,37.54554430403691,2901,2604
18360,20436,1003,1126.982323484709,56.01767651529091,2322,1943
18361,19977,2384,1959.1381829829197,43.86181701708032,3804,3323
18362,19393,2218,1711.5433691976937,69.45663080230624,3456,2941
18363,19977,2378,756.5400741517411,6.459925848258836,1558,1243
18364,19977,2416,2017.6808365457762,-0.6808365457762489,3640,3337
18365,19393,4611,1801.4642039548405,120.5357960451596,3357,3202
18366,19805,1056,1918.087335331352,165.91266466864803,3615,3444
18367,19805,1700,709.2702323915734,0.7297676084266086,1903,1150
18368,20304,4638,1953.3192218919326,15.680778108067525,3558,3249
18369,19790,879,1543.5348275274978,73.46517247250226,2839,2657
18370,19977,1702,655.9089230342423,11.091076965757704,1547,1107
18371,19805,2555,944.3173903188679,-0.3173903188678673,1859,1544
18372,20397,5432,2017.017905658904,711.9820943410958,4833,4529
18373,19393,4888,2016.3954819786604,15.60451802133948,3422,3352
18374,20304,3824,1721.3118593355407,133.68814066445927,3233,3055
18375,19977,205,645.7688029840937,74.23119701590637,1459,1200
18376,19393,1303,1149.2204927613964,31.779507238603685,2216,1941
18377,20436,3076,1758.9835713726125,118.01642862738753,3405,3117
18378,20436,3308,1442.1719072256838,353.82809277431625,3245,2956
18379,20398,3911,1622.1217228609596,38.878277139040485,2950,2741
18380,20304,4079,1531.1646417112504,3.8353582887497017,2744,2535
18381,19393,1577,1500.572720259132,39.427279740868,2755,2540
18382,20304,4990,1633.1289554703608,23.871044529639164,3044,2737
18383,20436,1134,1814.542370015415,51.457629984584976,3733,3106
18384,19805,1866,2350.84924370859,17.150756291409927,854,3928
18385,20304,3354,1931.6529053793467,16.347094620653344,3429,3228
18386,19393,4424,839.7036437944508,13.296356205549198,2338,1413
18387,19393,3515,1750.3361247295084,-0.3361247295084487,3210,2910
18388,20409,1794,1733.1387570485917,43.861242951408194,3754,2937
18389,19805,2866,1033.9238894384794,41.07611056152054,2226,1755
18390,20452,5606,1457.842725904717,-2.842725904717123,2820,2415
18391,20436,4009,2131.1430480791464,6.856951920853531,3737,3538
18392,19977,2641,1440.823845447568,24.176154552432116,2728,2425
18393,19790,705,1828.5794270070385,7.420572992961413,3548,3036
18394,19393,2936,1405.939805642746,114.06019435725388,2610,2520
18395,19790,2809,1145.0641724958568,132.93582750414325,2224,2118
18396,19930,1323,646.8778665213941,-1.877866521394136,1540,1045
18397,19790,2814,1815.8022194991474,-1.8022194991474272,3320,3014
18398,19805,1483,1917.3014639284706,101.69853607152946,3544,3339
18399,19805,1473,1537.8608312682522,9.13916873174773,2837,2547
18400,20416,2867,2228.800280218234,28.199719781765843,3925,3737
18401,20304,6187,2123.531911715768,79.46808828423208,3836,3643
18402,20304,3992,1131.3858429471259,37.61415705287416,2118,1929
18403,20304,5788,830.8289195336637,155.17108046633638,2256,1626
18404,19393,4755,1715.9962429868904,33.003757013109556,3119,2909
